,State,County,Municipality/City,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Location,Study ID,Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Other Generator Notes,State-Level,County-Level,Municipality/City-Level,Recycling Includes Composting,Compost,Exports,Imports,Landfill,MRF,Other,Other- AD,Other- Incinerator,Total Disposal,Total Disposed,Total Recycling,WTE
46,Maryland,,,2012,Unspecified,Waste Facility,2.0,24000,145.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1912757.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
47,Maryland,,,2012,Unspecified,Incinerator,2.0,24000,145.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1397642,0.0,,0.0,0.0
48,Maryland,,,2012,Unspecified,Waste Facility,2.0,24000,145.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,37660.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
49,Maryland,,,2011,Unspecified,Waste Facility,2.0,24000,146.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,3089820.0,0.0
50,Maryland,,,2011,Unspecified,Landfill,2.0,24000,146.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1512614.0,0.0,0.0,,,0.0,,0.0,0.0
51,Maryland,,,2011,Unspecified,Waste Facility,2.0,24000,146.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1866475.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
52,Maryland,,,2011,Unspecified,Incinerator,2.0,24000,146.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1405523,0.0,,0.0,0.0
53,Maryland,,,2011,Unspecified,Waste Facility,2.0,24000,146.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,53599.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
54,Maryland,,,2010,Unspecified,Waste Facility,2.0,24000,147.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2731201.0,0.0
55,Maryland,,,2010,Unspecified,Landfill,2.0,24000,147.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1573846.0,0.0,0.0,,,0.0,,0.0,0.0
